Movie Title,Release Date,Release Year,Opening Weekend,Genre ID,Avg Expert Score
Two Lovers,February 13th,2009,94986.00,17,74.3333333333333333
Two Lovers,February 13th,2009,94986.00,4,74.3333333333333333
A Field in England,February 7th,2014,9498.00,17,73.4210526315789474
Gangs of New York,December 20th,2002,9496870.00,17,73.4615384615384615
Solitary Man,May 21st,2010,94936.00,17,70.5806451612903226
A Guide to Recognizing Your Saints,September 29th,2006,94784.00,17,69.3600000000000000
Cracks,March 18th,2011,9467.00,4,57.3333333333333333
Cracks,March 18th,2011,9467.00,17,57.3333333333333333
Yi Yi,October 6th,2000,9456.00,17,91.9600000000000000
Yi Yi,October 6th,2000,9456.00,4,91.9600000000000000
Sympathy for Delicious,April 29th,2011,9448.00,17,50.0000000000000000
Sanctum,February 4th,2011,9447930.00,17,48.5454545454545455
Lincoln,November 9th,2012,944308.00,17,84.3863636363636364
Tennessee,June 5th,2009,9438.00,17,46.8750000000000000
Sorry We Missed You,March 6th,2019,9436.00,17,82.7241379310344828
Eight Crazy Nights,November 27th,2002,9434175.00,17,32.4444444444444444
The Sweetest Thing,April 12th,2002,9430667.00,4,39.2000000000000000
Zero Motivation,December 3rd,2014,9427.00,17,73.2222222222222222
The Hard Word,June 13th,2003,9422.00,17,54.5000000000000000
August Rush,November 17th,2007,9421369.00,4,45.2222222222222222
August Rush,November 17th,2007,9421369.00,17,45.2222222222222222
Kill the Messenger,October 10th,2014,941809.00,17,62.7222222222222222
Freedom Writers,January 5th,2007,9405582.00,17,64.7931034482758621
Alexandra,March 28th,2008,9401.00,17,85.0769230769230769
In the Bedroom,November 23rd,2001,93972.00,17,85.9354838709677419
Lord of War,September 16th,2005,9390144.00,17,65.6129032258064516
Captain Fantastic,July 8th,2016,93824.00,17,71.8888888888888889
Captain Fantastic,July 8th,2016,93824.00,4,71.8888888888888889
Friday Night,May 23rd,2003,9381.00,4,71.2500000000000000
Friday Night,May 23rd,2003,9381.00,17,71.2500000000000000
The Company,December 25th,2003,93776.00,4,72.5937500000000000
The Company,December 25th,2003,93776.00,17,72.5937500000000000
Vulgar,April 26th,2002,9377.00,17,11.5000000000000000
Mickey and the Bear,November 15th,2019,9375.00,17,80.4615384615384615
Denial,September 30th,2016,93728.00,17,66.4117647058823529
We Bought a Zoo,November 26th,2011,9360434.00,17,60.5250000000000000
Sixty Six,August 1st,2008,9359.00,17,60.0000000000000000
American Gun,March 22nd,2006,9355.00,17,52.8571428571428571
Lake City,November 21st,2008,9355.00,17,38.0833333333333333
Confessions of a Teenage Drama Queen,February 20th,2004,9350572.00,4,39.7826086956521739
The Man Who Cried,May 25th,2001,93455.00,17,46.3181818181818182
The Man Who Cried,May 25th,2001,93455.00,4,46.3181818181818182
Elephant,October 24th,2003,93356.00,17,72.4594594594594595
Indignation,July 29th,2016,93125.00,17,77.5714285714285714
Murder by Numbers,April 19th,2002,9307394.00,17,55.1428571428571429
Sunshine State,June 21st,2002,93072.00,17,69.6250000000000000
Vodka Lemon,October 8th,2004,9303.00,17,69.6250000000000000
Freshman Orientation,August 31st,2007,930.00,4,46.2222222222222222
Olympic Dreams,February 14th,2020,9290.00,4,62.0833333333333333
Olympic Dreams,February 14th,2020,9290.00,17,62.0833333333333333
The Illusionist,August 18th,2006,927956.00,4,70.5675675675675676
The Illusionist,August 18th,2006,927956.00,17,70.5675675675675676
Luminous Motion,May 19th,2000,9277.00,17,63.2857142857142857
The Aspern Papers,January 11th,2019,9277.00,17,32.5000000000000000
21 Bridges,November 22nd,2019,9261268.00,17,55.3125000000000000
Lost in Translation,September 12th,2003,925087.00,4,88.8636363636363636
Lost in Translation,September 12th,2003,925087.00,17,88.8636363636363636
Brother to Brother,November 5th,2004,9245.00,17,60.8888888888888889
12 Years a Slave,October 18th,2013,923715.00,17,94.4385964912280702
The Salon,May 11th,2007,92362.00,17,33.1333333333333333
Angel Eyes,May 18th,2001,9225575.00,4,45.5714285714285714
Angel Eyes,May 18th,2001,9225575.00,17,45.5714285714285714
Sleeping Beauty,December 2nd,2011,9207.00,17,59.1000000000000000
Equals,July 15th,2016,9206.00,4,49.0740740740740741
Equals,July 15th,2016,9206.00,17,49.0740740740740741
Finding You,May 14th,2021,920476.00,17,43.6666666666666667
Finding You,May 14th,2021,920476.00,4,43.6666666666666667
Waitress,May 2nd,2007,92034.00,4,75.9411764705882353
Waitress,May 2nd,2007,92034.00,17,75.9411764705882353
Morning Glory,November 10th,2010,9203266.00,4,60.2368421052631579
Morning Glory,November 10th,2010,9203266.00,17,60.2368421052631579
Leap Year,January 8th,2010,9202815.00,4,39.0333333333333333
Robin Hood,November 21st,2018,9195670.00,17,58.8000000000000000
Just Friends,November 23rd,2005,9191331.00,4,50.8571428571428571
The Nile Hilton Incident,August 11th,2017,9183.00,17,70.5000000000000000
Theeb,November 6th,2015,9181.00,17,79.7222222222222222
Wonderland,October 3rd,2003,91798.00,17,48.2777777777777778
The Tao of Steve,August 4th,2000,91791.00,17,73.6000000000000000
The Tao of Steve,August 4th,2000,91791.00,4,73.6000000000000000
Bloodshot,March 13th,2019,9176695.00,17,47.4000000000000000
Stardust,August 10th,2007,9169779.00,4,68.0606060606060606
Cake,January 23rd,2015,916179.00,17,53.1578947368421053
Dancer in the Dark,September 22nd,2000,91612.00,17,64.2727272727272727
Aladdin,May 24th,2019,91500929.00,4,56.9200000000000000
Explicit Ills,March 6th,2009,9125.00,17,58.7500000000000000
The Alamo,April 9th,2004,9124701.00,17,52.5000000000000000
Another Happy Day,November 18th,2011,9120.00,17,49.3888888888888889
Courageous,September 30th,2011,9112839.00,17,48.1000000000000000
Crash,May 6th,2005,9107071.00,17,68.8611111111111111
I Still Believe,March 13th,2020,9103614.00,17,44.4166666666666667
I Still Believe,March 13th,2020,9103614.00,4,44.4166666666666667
Musical Chairs,March 23rd,2012,9092.00,4,50.7692307692307692
Musical Chairs,March 23rd,2012,9092.00,17,50.7692307692307692
Lone Survivor,December 25th,2013,90872.00,17,62.7272727272727273
Luther,September 26th,2003,908446.00,17,52.9565217391304348
Five Nights in Maine,August 5th,2016,9059.00,17,50.1250000000000000
Inside Out,June 19th,2015,90440272.00,17,31.5000000000000000
Lars and the Real Girl,October 12th,2007,90418.00,17,71.0625000000000000
The Brothers Bloom,May 15th,2009,90400.00,17,59.1923076923076923
The Brothers Bloom,May 15th,2009,90400.00,4,59.1923076923076923
The Circle,April 28th,2017,9034148.00,17,84.5714285714285714
Frequency,April 28th,2000,9025584.00,17,70.3125000000000000
Hearts in Atlantis,September 28th,2001,9021494.00,17,60.1000000000000000
September Dawn,August 24th,2007,901857.00,17,32.7777777777777778
September Dawn,August 24th,2007,901857.00,4,32.7777777777777778
Fascination,January 28th,2005,9018.00,4,19.1111111111111111
The Golden Bowl,April 27th,2001,90170.00,17,64.3666666666666667
The Golden Bowl,April 27th,2001,90170.00,4,64.3666666666666667
Chloe,March 26th,2010,900688.00,17,54.2424242424242424
My Summer of Love,June 17th,2005,90022.00,4,82.2903225806451613
My Summer of Love,June 17th,2005,90022.00,17,82.2903225806451613
Land,February 12th,2021,899810.00,17,63.2187500000000000
The Private Lives of Pippa Lee,November 27th,2009,89950.00,4,54.6875000000000000
The Private Lives of Pippa Lee,November 27th,2009,89950.00,17,54.6875000000000000
The Wall,May 12th,2017,897955.00,17,68.6666666666666667
Seoul Searching,June 17th,2016,8966.00,4,65.8888888888888889
Seoul Searching,June 17th,2016,8966.00,17,65.8888888888888889
Wuthering Heights,October 5th,2012,8956.00,4,70.7500000000000000
Wuthering Heights,October 5th,2012,8956.00,17,70.7500000000000000
Girl with a Pearl Earring,December 12th,2003,89472.00,4,74.7837837837837838
Girl with a Pearl Earring,December 12th,2003,89472.00,17,74.7837837837837838
A Kid Like Jake,June 1st,2018,8936.00,17,60.3000000000000000
The Mist,November 21st,2007,8931973.00,17,63.5517241379310345
Don McKay,April 2nd,2010,8919.00,17,52.4615384615384615
Waiting for Forever,February 4th,2011,8917.00,4,33.0714285714285714
Waiting for Forever,February 4th,2011,8917.00,17,33.0714285714285714
The Descent,August 4th,2006,8911330.00,17,73.9666666666666667
The Bad Batch,June 23rd,2017,89111.00,4,62.4000000000000000
Letters from Iwo Jima,December 20th,2006,89097.00,17,87.5405405405405405
The Eyes of My Mother,December 2nd,2016,8908.00,17,64.4782608695652174
Twisted,February 27th,2004,8904299.00,17,33.3823529411764706
Leviathan,March 1st,2013,8900.00,17,91.0588235294117647
Waking Life,October 19th,2001,88977.00,17,82.1290322580645161
Dogville,March 26th,2004,88855.00,17,63.7948717948717949
Persepolis,December 25th,2007,88826.00,17,89.4838709677419355
Alone in Berlin,January 13th,2016,8869.00,17,55.9375000000000000
White Boy Rick,September 14th,2018,8860431.00,17,61.8285714285714286
Blithe Spirit,February 19th,2020,88559.00,4,33.5263157894736842
Oldboy,November 27th,2013,885382.00,17,52.5121951219512195
Great Expectations,November 8th,2013,88500.00,4,63.1304347826086957
Great Expectations,November 8th,2013,88500.00,17,63.1304347826086957
The Tracey Fragments,November 2nd,2007,8846.00,17,54.0000000000000000
The Secrets We Keep,September 16th,2020,88306.00,17,52.6428571428571429
Get Low,July 30th,2010,88182.00,17,77.3428571428571429
La La Land,December 9th,2016,881104.00,17,91.5555555555555556
La La Land,December 9th,2016,881104.00,4,91.5555555555555556
Hotel Mumbai,March 22nd,2019,88065.00,17,66.1515151515151515
The Greatest Showman,December 20th,2017,8805843.00,4,53.3023255813953488
The Greatest Showman,December 20th,2017,8805843.00,17,53.3023255813953488
Edie,September 6th,2018,8801.00,17,49.0909090909090909
Only Lovers Left Alive,April 11th,2013,87989.00,4,80.0975609756097561
Only Lovers Left Alive,April 11th,2013,87989.00,17,80.0975609756097561
Forty Shades of Blue,September 28th,2005,8795.00,17,73.1875000000000000
The Iceman,May 3rd,2013,87946.00,17,62.5357142857142857
Words and Pictures,May 23rd,2014,87879.00,17,54.5384615384615385
Words and Pictures,May 23rd,2014,87879.00,4,54.5384615384615385
Happenstance,November 2nd,2001,8777.00,17,61.0000000000000000
Ilo Ilo,April 4th,2013,8775.00,17,81.3333333333333333
Texas Killing Fields,October 14th,2011,8772.00,17,51.8823529411764706
Dorfman in Love,March 22nd,2013,8757.00,4,39.5555555555555556
Ammonite,November 13th,2020,87552.00,17,72.8536585365853659
Ammonite,November 13th,2020,87552.00,4,72.8536585365853659
Factory Girl,December 29th,2007,87477.00,17,51.2592592592592593
Journey from the Fall,March 23rd,2007,87442.00,17,72.2000000000000000
That Awkward Moment,January 31st,2014,8742109.00,4,42.6666666666666667
Confessions of a Dangerous Mind,December 31st,2002,87199.00,4,69.2424242424242424
Confessions of a Dangerous Mind,December 31st,2002,87199.00,17,69.2424242424242424
Beautiful Boxer,January 21st,2005,8713.00,17,70.0000000000000000
The Eagle,February 11th,2011,8684464.00,17,57.1714285714285714
Legend,November 20th,2015,86836.00,17,58.0000000000000000
Legend,November 20th,2015,86836.00,4,58.0000000000000000
Monster,December 24th,2003,86831.00,4,76.1500000000000000
Monster,December 24th,2003,86831.00,17,76.1500000000000000
Experimenter,October 16th,2015,8682.00,17,80.2500000000000000
The Constant Gardener,August 31st,2005,8673803.00,17,82.2307692307692308
The Constant Gardener,August 31st,2005,8673803.00,4,82.2307692307692308
Last Days,July 22nd,2005,86556.00,17,68.2777777777777778
Little Accidents,January 16th,2015,8649.00,17,60.6111111111111111
The Visitor,April 11th,2008,86488.00,17,79.7586206896551724
The Visitor,April 11th,2008,86488.00,4,79.7586206896551724
Blood Diamond,December 8th,2006,8648324.00,17,66.3846153846153846
50/50,September 30th,2011,8644095.00,17,73.6428571428571429
Baghead,June 13th,2008,8640.00,17,64.6521739130434783
Baghead,June 13th,2008,8640.00,4,64.6521739130434783
Dracula 2000,December 22nd,2000,8636567.00,4,31.9285714285714286
I Declare War,August 30th,2013,8634.00,17,60.2941176470588235
The Safety of Objects,March 7th,2003,86250.00,17,60.8620689655172414
30 Beats,July 20th,2012,8624.00,4,27.1666666666666667
Tulpan,April 1st,2009,8620.00,17,86.3750000000000000
Fast Five,April 29th,2011,86198765.00,17,67.8780487804878049
Free Zone,April 7th,2006,8618.00,17,54.1333333333333333
Paper Man,April 23rd,2010,8613.00,17,41.7333333333333333
Invictus,December 11th,2009,8611147.00,17,73.8823529411764706
Baby Boy,June 27th,2001,8606403.00,17,59.0384615384615385
Baby Boy,June 27th,2001,8606403.00,4,59.0384615384615385
Never Back Down,March 14th,2008,8603195.00,17,45.2727272727272727
School for Scoundrels,September 29th,2006,8602333.00,4,47.7500000000000000
Shake Hands with the Devil,October 29th,2010,86.00,17,63.1250000000000000
Bernie,April 27th,2012,85805.00,17,75.4857142857142857
The Aviator,December 17th,2004,858021.00,17,79.0000000000000000
Ballast,October 1st,2008,8572.00,17,83.2916666666666667
Divine Intervention,November 30th,2007,856.00,17,75.2500000000000000
Divine Intervention,November 30th,2007,856.00,4,75.2500000000000000
About a Boy,May 17th,2002,8557630.00,4,75.7368421052631579
About a Boy,May 17th,2002,8557630.00,17,75.7368421052631579
The Hottest State,August 24th,2007,8545.00,17,50.6000000000000000
The Second Best Exotic Marigold Hotel,March 6th,2015,8540370.00,17,56.2500000000000000
Thumbsucker,September 16th,2005,85327.00,17,71.0000000000000000
Before Night Falls,December 22nd,2000,85230.00,17,84.7692307692307692
Persecuted,July 18th,2014,851391.00,17,19.4444444444444444
Tai Chi Zero,October 19th,2012,85094.00,17,55.7692307692307692
To Dust,February 8th,2019,8496.00,17,70.2500000000000000
The Dark Horse,April 1st,2015,8487.00,17,77.8000000000000000
Tusk,September 19th,2014,846831.00,17,57.1818181818181818
The Magdalene Sisters,August 1st,2002,84553.00,17,83.1052631578947368
The Switch,August 20th,2010,8436713.00,4,56.6333333333333333
The Switch,August 20th,2010,8436713.00,17,56.6333333333333333
Harvard Man,May 17th,2002,8425.00,17,52.3500000000000000
Harvard Man,May 17th,2002,8425.00,4,52.3500000000000000
The Good Lie,October 3rd,2014,841422.00,17,68.0000000000000000
Descent,August 10th,2007,8411.00,17,48.8000000000000000
The Passion of the Christ,February 25th,2004,83848082.00,17,52.7045454545454545
When the Game Stands Tall,August 22nd,2014,8381509.00,17,46.4166666666666667
Black and Blue,October 25th,2019,8376846.00,17,57.6086956521739130
Pasolini,May 10th,2015,8362.00,17,70.6666666666666667
Brick,March 31st,2006,83574.00,17,73.3529411764705882
Maybe Baby,August 24th,2001,8351.00,4,49.2727272727272727
Milarepa,September 7th,2007,8330.00,17,57.1000000000000000
LUV,January 18th,2013,83194.00,17,54.9523809523809524
Jersey Girl,March 26th,2004,8319171.00,17,50.1428571428571429
Jersey Girl,March 26th,2004,8319171.00,4,50.1428571428571429
Where the Heart Is,April 28th,2000,8292939.00,4,36.8214285714285714
Where the Heart Is,April 28th,2000,8292939.00,17,36.8214285714285714
Just Wright,May 14th,2010,8284989.00,4,54.3076923076923077
The Seventh Fire,July 22nd,2016,8277.00,17,67.9166666666666667
Blood Done Sign My Name,February 19th,2010,82739.00,17,52.5000000000000000
How to Talk to Girls at Parties,May 18th,2018,827.00,4,54.7083333333333333
Broken City,January 18th,2013,8268908.00,17,53.0000000000000000
Crazy Heart,December 16th,2009,82664.00,17,83.3437500000000000
Crazy Heart,December 16th,2009,82664.00,4,83.3437500000000000
Wolf,December 3rd,2021,82640.00,17,56.0666666666666667
A Walk in the Woods,September 2nd,2015,8246267.00,17,54.9666666666666667
Equity,July 29th,2016,82434.00,17,69.4137931034482759
Dear Wendy,September 23rd,2005,8222.00,4,40.3600000000000000
Dear Wendy,September 23rd,2005,8222.00,17,40.3600000000000000
It Felt Like Love,March 21st,2014,8211.00,17,76.8461538461538462
The Other Boleyn Girl,February 29th,2008,8203061.00,4,54.7941176470588235
The Other Boleyn Girl,February 29th,2008,8203061.00,17,54.7941176470588235
Auggie Rose,May 18th,2001,8200.00,17,55.5000000000000000
Cold Creek Manor,September 19th,2003,8190574.00,17,41.8387096774193548
Eternal Sunshine of the Spotless Mind,March 19th,2004,8175198.00,4,87.8780487804878049
Eternal Sunshine of the Spotless Mind,March 19th,2004,8175198.00,17,87.8780487804878049
Layer Cake,May 13th,2005,81706.00,17,74.0333333333333333
Sin Nombre,March 20th,2009,81446.00,17,78.8181818181818182
Inside the Rain,March 13th,2020,8140.00,4,54.2857142857142857
Inside the Rain,March 13th,2020,8140.00,17,54.2857142857142857
The Art of Racing in the Rain,August 9th,2019,8137584.00,17,49.0322580645161290
The Art of Racing in the Rain,August 9th,2019,8137584.00,4,49.0322580645161290
Hyde Park on Hudson,December 7th,2012,81362.00,17,58.5609756097560976
First Cow,March 6th,2020,81323.00,17,87.0454545454545455
Dream House,September 30th,2011,8129355.00,17,40.0000000000000000
Reindeer Games,February 25th,2000,8128356.00,17,42.9696969696969697
The Grand Budapest Hotel,March 7th,2014,811166.00,17,87.4583333333333333
Margot at the Wedding,November 16th,2007,81035.00,17,67.7297297297297297
Locke,April 25th,2014,81006.00,17,81.0540540540540541
The Big Kahuna,April 28th,2000,80957.00,17,61.1111111111111111
August,July 11th,2008,8092.00,17,44.0000000000000000
Here and Now,November 9th,2018,8090.00,4,49.0000000000000000
Here and Now,November 9th,2018,8090.00,17,49.0000000000000000
Remember Me,March 12th,2010,8089139.00,4,47.0344827586206897
Remember Me,March 12th,2010,8089139.00,17,47.0344827586206897
Loosies,January 11th,2012,808.00,4,39.8181818181818182
Loosies,January 11th,2012,808.00,17,39.8181818181818182
Keeping the Faith,April 14th,2000,8078671.00,4,62.6774193548387097
Keeping the Faith,April 14th,2000,8078671.00,17,62.6774193548387097
Tadpole,July 19th,2002,80682.00,17,72.3548387096774194
Tadpole,July 19th,2002,80682.00,4,72.3548387096774194
Knockout,February 4th,2000,80655.00,17,32.5714285714285714
Peaceful Warrior,June 2nd,2006,80602.00,17,44.1739130434782609
Peaceful Warrior,June 2nd,2006,80602.00,4,44.1739130434782609
Love Happens,September 18th,2009,8057010.00,17,40.5384615384615385
Love Happens,September 18th,2009,8057010.00,4,40.5384615384615385
The Trip to Italy,August 15th,2014,80522.00,17,76.5277777777777778
Henry Poole Is Here,August 15th,2008,805219.00,17,50.0000000000000000
The Runaways,March 19th,2010,805115.00,17,67.4166666666666667
Lonely Hearts,April 13th,2007,80423.00,4,62.1428571428571429
Lonely Hearts,April 13th,2007,80423.00,17,62.1428571428571429
Jerichow,May 15th,2009,8042.00,17,72.5714285714285714
Before the Fall,October 7th,2005,8036.00,17,66.1111111111111111
The Man Who Knew Infinity,April 29th,2016,80325.00,17,61.3076923076923077
Buzzard,March 6th,2015,8031.00,17,76.2666666666666667
Joe Dirt,April 11th,2001,8016008.00,4,27.4615384615384615
Rough Night,June 16th,2017,8004283.00,17,55.6750000000000000
Cachorro,November 5th,2004,8002.00,17,66.8750000000000000
Snowden,September 16th,2015,8000058.00,17,61.6279069767441860
Looking for an Echo,November 10th,2000,8000.00,17,44.7142857142857143
Pipe Dream,October 4th,2002,7998.00,4,62.1000000000000000
Touch of Pink,July 16th,2004,79883.00,17,51.6086956521739130
Touch of Pink,July 16th,2004,79883.00,4,51.6086956521739130
Donald Cried,March 3rd,2017,7977.00,17,71.4615384615384615
Atonement,December 7th,2007,796836.00,17,84.7777777777777778
Atonement,December 7th,2007,796836.00,4,84.7777777777777778
Till Human Voices Wake Us,February 21st,2003,7968.00,17,44.2916666666666667
The Fall,May 9th,2008,79611.00,17,66.9130434782608696
The Tribes of Palos Verdes,December 1st,2017,796.00,17,51.6000000000000000
Lost Souls,October 13th,2000,7954766.00,17,24.4482758620689655
Dream Horse,May 21st,2021,794741.00,17,68.7000000000000000
Delivery Man,November 22nd,2013,7944977.00,17,49.0000000000000000
Here,April 13th,2012,7927.00,17,70.7777777777777778
Here,April 13th,2012,7927.00,4,70.7777777777777778
Personal Shopper,March 10th,2016,79175.00,17,77.3157894736842105
Everything Must Go,May 13th,2011,791676.00,17,67.7027027027027027
The Assistant,January 31st,2020,79141.00,17,79.0697674418604651
Quitting,September 13th,2002,7908.00,17,65.5789473684210526
Touch Me Not,January 11th,2018,7903.00,17,66.6153846153846154
The Seagull,May 11th,2018,79016.00,17,60.0967741935483871
Trial by Fire,May 17th,2019,78817.00,17,55.0526315789473684
The White Crow,April 26th,2019,78782.00,17,63.5862068965517241
What to Do in Case of Fire,July 19th,2002,7874.00,17,54.8000000000000000
Traitor,August 27th,2008,7868465.00,17,63.0344827586206897
The Princess and the Frog,November 25th,2009,786190.00,4,75.8620689655172414
The Nativity Story,December 1st,2006,7849304.00,17,54.6071428571428571
Hunt for the Wilderpeople,June 24th,2016,78439.00,17,81.0333333333333333
The Counselor,October 25th,2013,7842930.00,17,53.0476190476190476
The Souvenir,May 17th,2019,78400.00,17,88.8000000000000000
The Souvenir,May 17th,2019,78400.00,4,88.8000000000000000
Electric Shadows,December 16th,2005,784.00,17,72.5714285714285714
The Flying Scotsman,May 4th,2007,78337.00,17,54.6111111111111111
Return to Me,April 7th,2000,7820836.00,17,59.0606060606060606
Return to Me,April 7th,2000,7820836.00,4,59.0606060606060606
Youth,December 4th,2015,78085.00,17,67.8780487804878049
Broken Flowers,August 5th,2005,780408.00,17,79.0769230769230769
Slow Burn,April 13th,2007,778123.00,17,39.8571428571428571
Another Earth,July 22nd,2011,77740.00,17,69.7272727272727273
Big Miracle,February 3rd,2012,7760205.00,4,61.2500000000000000
Big Miracle,February 3rd,2012,7760205.00,17,61.2500000000000000
Daltry Calhoun,September 23rd,2005,7758.00,17,36.5000000000000000
Shattered Glass,October 31st,2003,77540.00,17,75.2368421052631579
This Must Be the Place,November 2nd,2012,7754.00,17,63.6896551724137931
Kinky Boots,April 14th,2006,77529.00,17,60.1935483870967742
Last Orders,February 15th,2002,77400.00,17,77.9354838709677419
Crossing Over,February 27th,2009,77370.00,17,43.5161290322580645
Mad Money,January 18th,2008,7736452.00,4,46.5483870967741935
Obvious Child,June 6th,2014,77315.00,4,76.1142857142857143
Two Can Play That Game,September 7th,2001,7720942.00,4,44.1428571428571429
Closer,December 3rd,2004,7707972.00,4,68.6428571428571429
Closer,December 3rd,2004,7707972.00,17,68.6428571428571429
Runner Runner,October 4th,2013,7706712.00,17,42.2580645161290323
Flicka,October 20th,2006,7703551.00,17,60.0000000000000000
The East,May 31st,2013,77031.00,17,69.7500000000000000
The Good German,December 15th,2006,76817.00,17,53.2058823529411765
Annapolis,January 27th,2006,7681171.00,17,43.5000000000000000
Annapolis,January 27th,2006,7681171.00,4,43.5000000000000000
Catch and Release,January 26th,2007,7658898.00,17,47.6071428571428571
Catch and Release,January 26th,2007,7658898.00,4,47.6071428571428571
Desert Flower,March 18th,2011,7657.00,17,56.1428571428571429
The Music Never Stopped,March 18th,2011,76543.00,17,61.0000000000000000
Tyrannosaur,November 18th,2011,7635.00,17,68.0555555555555556
Tsotsi,February 24th,2006,76324.00,17,73.1428571428571429
The Price of Milk,February 16th,2001,7630.00,4,51.8947368421052632
The Price of Milk,February 16th,2001,7630.00,17,51.8947368421052632
Our Family Wedding,March 12th,2010,7629862.00,4,42.8750000000000000
Manic,April 25th,2003,7628.00,17,61.9000000000000000
The Lodge,February 7th,2020,76251.00,17,67.2258064516129032
Cape of Good Hope,November 11th,2005,7624.00,17,63.5000000000000000
Suffragette,October 23rd,2014,76224.00,17,66.9729729729729730
Starting Out in the Evening,November 23rd,2007,76214.00,17,78.6060606060606061
Starting Out in the Evening,November 23rd,2007,76214.00,4,78.6060606060606061
